,Lat,Lon,DSM,R,G,B,NIR,NDVI,CIg,MSAVI,MTVI2,NDWI,EVI,GNDVI,IronOxide,SAVI,SR,VARI,Tr
13169,38.2927874022,-121.122459301,11.764,0.0581063,0.0660188,0.0361,0.408181,0.751036,0.751036,0.554014,0.517172,-0.721351,0.588268,0.721351,1.61203,0.54269,7.0698,0.0919645,30.4717
13170,38.2927872925,-121.122452444,11.7639,0.0684125,0.0734125,0.042475,0.439862,0.731513,0.731513,0.564381,0.5202,-0.713996,0.605471,0.713996,1.61867,0.551976,6.52733,0.0533762,30.2198
13171,38.2927871827,-121.122445586,11.605,0.0769313,0.08025,0.0460375,0.446425,0.70606,0.70606,0.550053,0.501548,-0.695187,0.59087,0.695187,1.6748,0.541265,5.81631,0.0303679,30.6104
13172,38.2927870729,-121.122438729,11.5102,0.0624688,0.0691625,0.036825,0.371644,0.711116,0.711116,0.494182,0.455172,-0.684589,0.524584,0.684589,1.69765,0.495202,5.953,0.0714948,31.1179
13173,38.2927869631,-121.122431871,11.8049,0.0616063,0.0692375,0.036475,0.390569,0.729093,0.729093,0.5212,0.484,-0.699223,0.552149,0.699223,1.70697,0.517175,6.42107,0.0843635,31.0836
13174,38.2927868533,-121.122425013,12.0806,0.06305,0.0714625,0.0379188,0.409312,0.732484,0.732484,0.541621,0.503727,-0.701892,0.575137,0.701892,1.66312,0.533289,6.496,0.0877828,30.522
13175,38.2927867435,-121.122418156,11.9417,0.0629563,0.0716062,0.0385125,0.4498,0.754652,0.754652,0.59117,0.552909,-0.72531,0.628326,0.72531,1.63652,0.572755,7.17943,0.0911208,30.4642
13176,38.2927866337,-121.122411298,11.6982,0.0659437,0.0718187,0.03965,0.448112,0.743893,0.743893,0.581102,0.538058,-0.723858,0.617675,0.723858,1.66432,0.565181,6.83663,0.0614992,31.3858
13177,38.2927865239,-121.122404441,11.9299,0.064675,0.0688062,0.0383313,0.415125,0.730247,0.730247,0.543947,0.499323,-0.715067,0.57705,0.715067,1.6947,0.535367,6.44696,0.0447756,32.541
13178,38.2927864141,-121.122397583,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,
13179,38.2927863044,-121.122390725,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,
13180,38.2927861946,-121.122383868,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,
13181,38.2927860848,-121.12237701,11.8436,0.0628688,0.06595,0.0355,0.375006,0.713424,0.713424,0.498951,0.45428,-0.700977,0.524878,0.700977,1.78154,0.499029,6.03592,0.035301,32.4433
13182,38.292785975,-121.122370153,11.7708,0.0645,0.0693,0.03635,0.38665,0.714422,0.714422,0.507528,0.465724,-0.695011,0.534666,0.695011,1.77619,0.506031,6.09989,0.0544009,32.8564
13183,38.2927858652,-121.122363295,11.8502,0.0657,0.0714187,0.0364562,0.431612,0.736671,0.736671,0.562366,0.519727,-0.716234,0.589096,0.716234,1.80191,0.550056,6.64405,0.0603118,32.8211
13184,38.2927857554,-121.122356437,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,
13185,38.2927856456,-121.12234958,11.8598,0.0769437,0.0801125,0.0424062,0.448862,0.7087,0.7087,0.5534,0.505211,-0.697686,0.583951,0.697686,1.81079,0.543814,5.92273,0.0318157,33.0947
13186,38.2927855358,-121.122342722,11.7884,0.071225,0.0759437,0.03965,0.404444,0.705574,0.705574,0.510957,0.469553,-0.684967,0.540211,0.684967,1.80864,0.509829,5.94387,0.0576052,33.0317
